07-05-2023 18:16:29 | INFO | Starting
07-05-2023 18:17:09 | INFO | Shutdown recognized
07-05-2023 18:17:09 | DEBUG | Delete Shutdown-Key from db
07-05-2023 18:17:09 | INFO | Backup skipped
07-05-2023 18:17:09 | INFO | Started shutdown
07-05-2023 18:18:39 | INFO | Starting
07-05-2023 18:25:54 | INFO | Shutdown recognized
07-05-2023 18:25:54 | DEBUG | Delete Shutdown-Key from db
07-05-2023 18:25:54 | INFO | Backup recognized
07-05-2023 18:25:54 | INFO | Creating backup
07-05-2023 18:25:54 | DEBUG | base_path: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1
07-05-2023 18:25:54 | DEBUG | backupPaths: ['\\logs', '\\world', '\\world_nether', '\\world_the_end', '\\plugins']
07-05-2023 18:25:54 | DEBUG | targetPath: E:\backups_mc\2023-07-05 18.25.54
07-05-2023 18:25:55 | INFO | Start to backup: \logs
07-05-2023 18:25:56 | INFO | |--------File: r.1.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.3.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.7.-7.mca
07-05-2023 18:25:56 | INFO | |--------File: r.9.-7.mca
07-05-2023 18:25:56 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world\region
07-05-2023 18:25:56 | INFO | |--------File: r.-1.-1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.-2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.-3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.0.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.4.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-2.-1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-2.-2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-2.0.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-2.1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-2.2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-3.1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-3.2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-3.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-3.4.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-4.1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-4.2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-4.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-4.4.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.-1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.-2.mca
07-05-2023 18:25:57 | INFO | |--------File: r.0.-3.mca
07-05-2023 18:25:57 | INFO | |--------File: r.0.-4.mca
07-05-2023 18:25:57 | INFO | |--------File: r.0.0.mca
07-05-2023 18:25:57 | INFO | |--------File: r.0.1.mca
07-05-2023 18:25:57 | INFO | |--------File: r.0.2.mca
07-05-2023 18:25:57 | INFO | |--------File: r.0.3.mca
07-05-2023 18:25:57 | INFO | |--------File: r.0.4.mca
07-05-2023 18:25:57 | INFO | |--------File: r.0.5.mca
07-05-2023 18:25:57 | INFO | |--------File: r.1.-1.mca
07-05-2023 18:25:57 | INFO | |--------File: r.1.-2.mca
07-05-2023 18:25:57 | INFO | |--------File: r.1.-3.mca
07-05-2023 18:25:57 | INFO | |--------File: r.1.-4.mca
07-05-2023 18:25:57 | INFO | |--------File: r.1.0.mca
07-05-2023 18:25:57 | INFO | |--------File: r.1.1.mca
07-05-2023 18:25:57 | INFO | |--------File: r.1.2.mca
07-05-2023 18:25:57 | INFO | |--------File: r.1.3.mca
07-05-2023 18:25:57 | INFO | |--------File: r.1.4.mca
07-05-2023 18:25:57 | INFO | |--------File: r.1.5.mca
07-05-2023 18:25:57 | INFO | |--------File: r.2.3.mca
07-05-2023 18:25:57 | INFO | |--------File: r.2.4.mca
07-05-2023 18:25:57 | INFO | |--------File: r.2.5.mca
07-05-2023 18:25:57 | INFO | |--------File: r.3.-1.mca
07-05-2023 18:25:57 | INFO | |--------File: r.3.0.mca
07-05-2023 18:25:57 | INFO | |--------File: r.3.3.mca
07-05-2023 18:25:57 | INFO | |--------File: r.3.4.mca
07-05-2023 18:25:57 | INFO | |--------File: r.6.-4.mca
07-05-2023 18:25:57 | INFO | |--------File: r.6.-5.mca
07-05-2023 18:25:57 | INFO | |--------File: r.7.-5.mca
